rank,age_code,gender_code,product_name,audience_percentage,product_package,total_active_users,active_users,sub_genre
5,<25,male,Americanas: compras online,0.050178476,com.b2w.americanas,23795465,1194020,E-Commerce (B2C)
5,all,male,Americanas: compras online,0.416535765,com.b2w.americanas,23795465,9911662,E-Commerce (B2C)
5,all,female,Americanas: compras online,0.583464265,com.b2w.americanas,23795465,13883803,E-Commerce (B2C)
5,<25,all,Americanas: compras online,0.109876245,com.b2w.americanas,23795465,2614556,E-Commerce (B2C)
5,<25,female,Americanas: compras online,0.059697773,com.b2w.americanas,23795465,1420536,E-Commerce (B2C)
6,<25,all,Amazon Shopping,0.175157636,com.amazon.mShop.android.shopping,19012526,3330189,E-Commerce (B2C)
6,between 25 and 44,all,Amazon Shopping,0.622425616,com.amazon.mShop.android.shopping,19012526,11833883,E-Commerce (B2C)
6,between 25 and 44,female,Amazon Shopping,0.316940993,com.amazon.mShop.android.shopping,19012526,6025849,E-Commerce (B2C)
6,all,male,Amazon Shopping,0.517641187,com.amazon.mShop.android.shopping,19012526,9841667,E-Commerce (B2C)
6,all,all,Amazon Shopping,1,com.amazon.mShop.android.shopping,19012526,19012526,E-Commerce (B2C)
6,between 25 and 44,male,Amazon Shopping,0.305484623,com.amazon.mShop.android.shopping,19012526,5808034,E-Commerce (B2C)
6,>44,female,Amazon Shopping,0.089452617,com.amazon.mShop.android.shopping,19012526,1700720,E-Commerce (B2C)
6,<25,female,Amazon Shopping,0.075965226,com.amazon.mShop.android.shopping,19012526,1444291,E-Commerce (B2C)
6,>44,all,Amazon Shopping,0.202416748,com.amazon.mShop.android.shopping,19012526,3848454,E-Commerce (B2C)
6,<25,male,Amazon Shopping,0.099192411,com.amazon.mShop.android.shopping,19012526,1885898,E-Commerce (B2C)
6,all,female,Amazon Shopping,0.482358843,com.amazon.mShop.android.shopping,19012526,9170860,E-Commerce (B2C)
6,>44,male,Amazon Shopping,0.112964131,com.amazon.mShop.android.shopping,19012526,2147733,E-Commerce (B2C)
7,>44,female,Casas Bahia: Compras Online,0.154659674,com.novapontocom.casasbahia,10986033,1699096,E-Commerce (B2C)
7,between 25 and 44,male,Casas Bahia: Compras Online,0.268977135,com.novapontocom.casasbahia,10986033,2954992,E-Commerce (B2C)
7,all,all,Casas Bahia: Compras Online,1,com.novapontocom.casasbahia,10986033,10986033,E-Commerce (B2C)
7,<25,male,Casas Bahia: Compras Online,0.046878871,com.novapontocom.casasbahia,10986033,515013,E-Commerce (B2C)
7,between 25 and 44,female,Casas Bahia: Compras Online,0.360924035,com.novapontocom.casasbahia,10986033,3965123,E-Commerce (B2C)
7,>44,all,Casas Bahia: Compras Online,0.279885262,com.novapontocom.casasbahia,10986033,3074829,E-Commerce (B2C)
7,all,male,Casas Bahia: Compras Online,0.441081584,com.novapontocom.casasbahia,10986033,4845737,E-Commerce (B2C)
7,>44,male,Casas Bahia: Compras Online,0.125225589,com.novapontocom.casasbahia,10986033,1375732,E-Commerce (B2C)
7,<25,all,Casas Bahia: Compras Online,0.090213574,com.novapontocom.casasbahia,10986033,991089,E-Commerce (B2C)
7,<25,female,Casas Bahia: Compras Online,0.0433347,com.novapontocom.casasbahia,10986033,476076,E-Commerce (B2C)
7,between 25 and 44,all,Casas Bahia: Compras Online,0.629901171,com.novapontocom.casasbahia,10986033,6920115,E-Commerce (B2C)
7,all,female,Casas Bahia: Compras Online,0.558918417,com.novapontocom.casasbahia,10986033,6140296,E-Commerce (B2C)
8,>44,all,AliExpress,0.192430049,com.alibaba.aliexpresshd,20700695,3983436,E-Commerce (B2C)
8,all,all,AliExpress,1,com.alibaba.aliexpresshd,20700695,20700695,E-Commerce (B2C)
8,>44,female,AliExpress,0.080832206,com.alibaba.aliexpresshd,20700695,1673283,E-Commerce (B2C)
8,all,female,AliExpress,0.436091065,com.alibaba.aliexpresshd,20700695,9027388,E-Commerce (B2C)
8,<25,all,AliExpress,0.134269908,com.alibaba.aliexpresshd,20700695,2779480,E-Commerce (B2C)
8,between 25 and 44,all,AliExpress,0.673300028,com.alibaba.aliexpresshd,20700695,13937779,E-Commerce (B2C)
8,between 25 and 44,female,AliExpress,0.309188783,com.alibaba.aliexpresshd,20700695,6400423,E-Commerce (B2C)
8,<25,male,AliExpress,0.088199832,com.alibaba.aliexpresshd,20700695,1825798,E-Commerce (B2C)
8,all,male,AliExpress,0.563908935,com.alibaba.aliexpresshd,20700695,11673307,E-Commerce (B2C)
8,>44,male,AliExpress,0.111597844,com.alibaba.aliexpresshd,20700695,2310153,E-Commerce (B2C)
8,<25,female,AliExpress,0.046070077,com.alibaba.aliexpresshd,20700695,953683,E-Commerce (B2C)
8,between 25 and 44,male,AliExpress,0.364111275,com.alibaba.aliexpresshd,20700695,7537356,E-Commerce (B2C)
9,all,female,OLX - Venda e Compra Online,0.339924544,com.schibsted.bomnegocio.androidApp,18685367,6351615,Resell
9,between 25 and 44,all,OLX - Venda e Compra Online,0.690891087,com.schibsted.bomnegocio.androidApp,18685367,12909554,Resell
9,<25,female,OLX - Venda e Compra Online,0.033882365,com.schibsted.bomnegocio.androidApp,18685367,633104,Resell
9,>44,all,OLX - Venda e Compra Online,0.178669572,com.schibsted.bomnegocio.androidApp,18685367,3338507,Resell
9,>44,male,OLX - Venda e Compra Online,0.121043846,com.schibsted.bomnegocio.androidApp,18685367,2261749,Resell
9,all,male,OLX - Venda e Compra Online,0.660075486,com.schibsted.bomnegocio.androidApp,18685367,12333753,Resell
9,between 25 and 44,male,OLX - Venda e Compra Online,0.442474634,com.schibsted.bomnegocio.androidApp,18685367,8267801,Resell
9,all,all,OLX - Venda e Compra Online,1,com.schibsted.bomnegocio.androidApp,18685367,18685367,Resell
9,<25,all,OLX - Venda e Compra Online,0.130439341,com.schibsted.bomnegocio.androidApp,18685367,2437307,Resell
9,>44,female,OLX - Venda e Compra Online,0.057625726,com.schibsted.bomnegocio.androidApp,18685367,1076758,Resell
9,between 25 and 44,female,OLX - Venda e Compra Online,0.248416439,com.schibsted.bomnegocio.androidApp,18685367,4641752,Resell
9,<25,male,OLX - Venda e Compra Online,0.096556984,com.schibsted.bomnegocio.androidApp,18685367,1804203,Resell
10,all,female,O Boticário,0.71906507,com.boticario.mobile,2867351,2061812,E-Commerce (Retailer)
10,>44,male,O Boticário,0.061857924,com.boticario.mobile,2867351,177368,E-Commerce (Retailer)
10,all,all,O Boticário,1,com.boticario.mobile,2867351,2867351,E-Commerce (Retailer)
10,all,male,O Boticário,0.28093493,com.boticario.mobile,2867351,805539,E-Commerce (Retailer)
10,>44,female,O Boticário,0.143366665,com.boticario.mobile,2867351,411083,E-Commerce (Retailer)
10,between 25 and 44,all,O Boticário,0.67699343,com.boticario.mobile,2867351,1941178,E-Commerce (Retailer)
10,<25,male,O Boticário,0.043023191,com.boticario.mobile,2867351,123363,E-Commerce (Retailer)
10,between 25 and 44,male,O Boticário,0.176053807,com.boticario.mobile,2867351,504808,E-Commerce (Retailer)
10,between 25 and 44,female,O Boticário,0.500939608,com.boticario.mobile,2867351,1436370,E-Commerce (Retailer)
10,<25,all,O Boticário,0.117781997,com.boticario.mobile,2867351,337722,E-Commerce (Retailer)
10,<25,female,O Boticário,0.074758805,com.boticario.mobile,2867351,214360,E-Commerce (Retailer)
10,>44,all,O Boticário,0.205224589,com.boticario.mobile,2867351,588451,E-Commerce (Retailer)
11,between 25 and 44,female,MadeiraMadeira: compras online,0.524351597,br.com.madeiramadeira,295906,155159,E-Commerce (Retailer)
11,>44,male,MadeiraMadeira: compras online,0.042941667,br.com.madeiramadeira,295906,12707,E-Commerce (Retailer)
11,between 25 and 44,all,MadeiraMadeira: compras online,0.79532218,br.com.madeiramadeira,295906,235341,E-Commerce (Retailer)
11,all,male,MadeiraMadeira: compras online,0.345093608,br.com.madeiramadeira,295906,102115,E-Commerce (Retailer)
11,<25,male,MadeiraMadeira: compras online,0.031181367,br.com.madeiramadeira,295906,9227,E-Commerce (Retailer)
11,between 25 and 44,male,MadeiraMadeira: compras online,0.270970583,br.com.madeiramadeira,295906,80182,E-Commerce (Retailer)
11,>44,female,MadeiraMadeira: compras online,0.111968458,br.com.madeiramadeira,295906,33132,E-Commerce (Retailer)
11,all,female,MadeiraMadeira: compras online,0.654906392,br.com.madeiramadeira,295906,193791,E-Commerce (Retailer)
11,<25,female,MadeiraMadeira: compras online,0.018586315,br.com.madeiramadeira,295906,5500,E-Commerce (Retailer)
11,>44,all,MadeiraMadeira: compras online,0.154910117,br.com.madeiramadeira,295906,45839,E-Commerce (Retailer)
11,<25,all,MadeiraMadeira: compras online,0.049767684,br.com.madeiramadeira,295906,14727,E-Commerce (Retailer)
11,all,all,MadeiraMadeira: compras online,1,br.com.madeiramadeira,295906,295906,E-Commerce (Retailer)
12,between 25 and 44,female,enjoei: comprar e vender roupa,0.524858534,br.com.enjoei.app,4574141,2400777,E-Commerce (Retailer)
12,<25,all,enjoei: comprar e vender roupa,0.105172217,br.com.enjoei.app,4574141,481073,E-Commerce (Retailer)
12,all,female,enjoei: comprar e vender roupa,0.694722951,br.com.enjoei.app,4574141,3177761,E-Commerce (Retailer)
12,>44,male,enjoei: comprar e vender roupa,0.057213731,br.com.enjoei.app,4574141,261704,E-Commerce (Retailer)
12,<25,male,enjoei: comprar e vender roupa,0.052059889,br.com.enjoei.app,4574141,238129,E-Commerce (Retailer)
12,all,male,enjoei: comprar e vender roupa,0.30527705,br.com.enjoei.app,4574141,1396380,E-Commerce (Retailer)
12,between 25 and 44,all,enjoei: comprar e vender roupa,0.720861971,br.com.enjoei.app,4574141,3297324,E-Commerce (Retailer)
12,between 25 and 44,male,enjoei: comprar e vender roupa,0.196003422,br.com.enjoei.app,4574141,896547,E-Commerce (Retailer)
12,>44,all,enjoei: comprar e vender roupa,0.173965842,br.com.enjoei.app,4574141,795744,E-Commerce (Retailer)
12,>44,female,enjoei: comprar e vender roupa,0.116752103,br.com.enjoei.app,4574141,534041,E-Commerce (Retailer)
12,all,all,enjoei: comprar e vender roupa,1,br.com.enjoei.app,4574141,4574141,E-Commerce (Retailer)
12,<25,female,enjoei: comprar e vender roupa,0.053112328,br.com.enjoei.app,4574141,242943,E-Commerce (Retailer)
13,<25,all,Netshoes: Loja de Esportes,0.1,br.com.netshoes.app,5495372,549537,E-Commerce (Retailer)
13,<25,female,Netshoes: Loja de Esportes,0.02,br.com.netshoes.app,5495372,109907,E-Commerce (Retailer)
13,between 25 and 44,male,Netshoes: Loja de Esportes,0.39,br.com.netshoes.app,5495372,2143195,E-Commerce (Retailer)
13,all,all,Netshoes: Loja de Esportes,1,br.com.netshoes.app,5495372,5495372,E-Commerce (Retailer)
13,<25,male,Netshoes: Loja de Esportes,0.08,br.com.netshoes.app,5495372,439630,E-Commerce (Retailer)
13,between 25 and 44,female,Netshoes: Loja de Esportes,0.38,br.com.netshoes.app,5495372,2088241,E-Commerce (Retailer)
13,>44,female,Netshoes: Loja de Esportes,0.05,br.com.netshoes.app,5495372,274769,E-Commerce (Retailer)
13,>44,male,Netshoes: Loja de Esportes,0.08,br.com.netshoes.app,5495372,439630,E-Commerce (Retailer)
13,between 25 and 44,all,Netshoes: Loja de Esportes,0.77,br.com.netshoes.app,5495372,4231436,E-Commerce (Retailer)
13,all,male,Netshoes: Loja de Esportes,0.55,br.com.netshoes.app,5495372,3022455,E-Commerce (Retailer)
13,all,female,Netshoes: Loja de Esportes,0.45,br.com.netshoes.app,5495372,2472917,E-Commerce (Retailer)
13,>44,all,Netshoes: Loja de Esportes,0.14,br.com.netshoes.app,5495372,769352,E-Commerce (Retailer)
14,<25,male,Alibaba.com - B2B marketplace,0.034158893,com.alibaba.intl.android.apps.poseidon,1036349,35401,Other Shopping
14,all,female,Alibaba.com - B2B marketplace,0.393364728,com.alibaba.intl.android.apps.poseidon,1036349,407663,Other Shopping
14,between 25 and 44,male,Alibaba.com - B2B marketplace,0.373720855,com.alibaba.intl.android.apps.poseidon,1036349,387305,Other Shopping
14,<25,all,Alibaba.com - B2B marketplace,0.05313715,com.alibaba.intl.android.apps.poseidon,1036349,55069,Other Shopping
14,<25,female,Alibaba.com - B2B marketplace,0.018978255,com.alibaba.intl.android.apps.poseidon,1036349,19668,Other Shopping
14,all,all,Alibaba.com - B2B marketplace,1,com.alibaba.intl.android.apps.poseidon,1036349,1036349,Other Shopping
14,between 25 and 44,all,Alibaba.com - B2B marketplace,0.626969814,com.alibaba.intl.android.apps.poseidon,1036349,649760,Other Shopping
14,>44,all,Alibaba.com - B2B marketplace,0.319893003,com.alibaba.intl.android.apps.poseidon,1036349,331521,Other Shopping
14,all,male,Alibaba.com - B2B marketplace,0.606635273,com.alibaba.intl.android.apps.poseidon,1036349,628686,Other Shopping
14,>44,male,Alibaba.com - B2B marketplace,0.198755503,com.alibaba.intl.android.apps.poseidon,1036349,205980,Other Shopping
14,>44,female,Alibaba.com - B2B marketplace,0.121137507,com.alibaba.intl.android.apps.poseidon,1036349,125541,Other Shopping
14,between 25 and 44,female,Alibaba.com - B2B marketplace,0.25324899,com.alibaba.intl.android.apps.poseidon,1036349,262454,Other Shopping
15,between 25 and 44,male,Ponto: Compra Online e Ofertas,0.265397042,com.sonyericsson.pontofrio,2404826,638234,E-Commerce (B2C)
15,>44,female,Ponto: Compra Online e Ofertas,0.195870057,com.sonyericsson.pontofrio,2404826,471033,E-Commerce (B2C)
15,between 25 and 44,all,Ponto: Compra Online e Ofertas,0.536177933,com.sonyericsson.pontofrio,2404826,1289415,E-Commerce (B2C)
15,<25,male,Ponto: Compra Online e Ofertas,0.066013195,com.sonyericsson.pontofrio,2404826,158750,E-Commerce (B2C)
15,all,all,Ponto: Compra Online e Ofertas,1,com.sonyericsson.pontofrio,2404826,2404826,E-Commerce (B2C)
15,all,female,Ponto: Compra Online e Ofertas,0.50222671,com.sonyericsson.pontofrio,2404826,1207768,E-Commerce (B2C)
15,>44,male,Ponto: Compra Online e Ofertas,0.166363075,com.sonyericsson.pontofrio,2404826,400074,E-Commerce (B2C)
15,all,male,Ponto: Compra Online e Ofertas,0.49777332,com.sonyericsson.pontofrio,2404826,1197058,E-Commerce (B2C)
15,between 25 and 44,female,Ponto: Compra Online e Ofertas,0.270780891,com.sonyericsson.pontofrio,2404826,651181,E-Commerce (B2C)
15,>44,all,Ponto: Compra Online e Ofertas,0.362233132,com.sonyericsson.pontofrio,2404826,871108,E-Commerce (B2C)
15,<25,all,Ponto: Compra Online e Ofertas,0.101588927,com.sonyericsson.pontofrio,2404826,244304,E-Commerce (B2C)
15,<25,female,Ponto: Compra Online e Ofertas,0.035575736,com.sonyericsson.pontofrio,2404826,85553,E-Commerce (B2C)
16,>44,male,Zattini: Loja de roupas online,0.042746335,br.com.zattini,1866690,79794,E-Commerce (B2C)
16,between 25 and 44,female,Zattini: Loja de roupas online,0.669098318,br.com.zattini,1866690,1248999,E-Commerce (B2C)
16,>44,all,Zattini: Loja de roupas online,0.152183935,br.com.zattini,1866690,284080,E-Commerce (B2C)
16,between 25 and 44,all,Zattini: Loja de roupas online,0.813394785,br.com.zattini,1866690,1518356,E-Commerce (B2C)
16,<25,female,Zattini: Loja de roupas online,0.022668203,br.com.zattini,1866690,42315,E-Commerce (B2C)
16,all,female,Zattini: Loja de roupas online,0.801204085,br.com.zattini,1866690,1495600,E-Commerce (B2C)
16,between 25 and 44,male,Zattini: Loja de roupas online,0.144296467,br.com.zattini,1866690,269357,E-Commerce (B2C)
16,>44,female,Zattini: Loja de roupas online,0.109437592,br.com.zattini,1866690,204286,E-Commerce (B2C)
16,all,all,Zattini: Loja de roupas online,1,br.com.zattini,1866690,1866690,E-Commerce (B2C)
16,all,male,Zattini: Loja de roupas online,0.198795885,br.com.zattini,1866690,371090,E-Commerce (B2C)
16,<25,male,Zattini: Loja de roupas online,0.011753079,br.com.zattini,1866690,21939,E-Commerce (B2C)
16,<25,all,Zattini: Loja de roupas online,0.034421284,br.com.zattini,1866690,64254,E-Commerce (B2C)
17,between 25 and 44,female,Shoptime: Compras online,0.342337608,com.b2w.shoptime,2805321,960367,E-Commerce (B2C)
17,<25,all,Shoptime: Compras online,0.06112583,com.b2w.shoptime,2805321,171478,E-Commerce (B2C)
17,<25,female,Shoptime: Compras online,0.030624228,com.b2w.shoptime,2805321,85911,E-Commerce (B2C)
17,>44,female,Shoptime: Compras online,0.205466345,com.b2w.shoptime,2805321,576399,E-Commerce (B2C)
17,<25,male,Shoptime: Compras online,0.030501602,com.b2w.shoptime,2805321,85567,E-Commerce (B2C)
17,between 25 and 44,male,Shoptime: Compras online,0.241041735,com.b2w.shoptime,2805321,676199,E-Commerce (B2C)
17,all,all,Shoptime: Compras online,1,com.b2w.shoptime,2805321,2805321,E-Commerce (B2C)
17,all,female,Shoptime: Compras online,0.578428149,com.b2w.shoptime,2805321,1622677,E-Commerce (B2C)
17,>44,male,Shoptime: Compras online,0.150028497,com.b2w.shoptime,2805321,420878,E-Commerce (B2C)
17,all,male,Shoptime: Compras online,0.421571821,com.b2w.shoptime,2805321,1182644,E-Commerce (B2C)
17,between 25 and 44,all,Shoptime: Compras online,0.583379328,com.b2w.shoptime,2805321,1636566,E-Commerce (B2C)
17,>44,all,Shoptime: Compras online,0.355494827,com.b2w.shoptime,2805321,997277,E-Commerce (B2C)
18,>44,female,Lojas Renner - Comprar Roupas,0.151539147,br.com.lojasrenner,5173413,783975,E-Commerce (Retailer)
18,<25,male,Lojas Renner - Comprar Roupas,0.025003547,br.com.lojasrenner,5173413,129354,E-Commerce (Retailer)
18,all,all,Lojas Renner - Comprar Roupas,1,br.com.lojasrenner,5173413,5173413,E-Commerce (Retailer)
18,>44,all,Lojas Renner - Comprar Roupas,0.210340098,br.com.lojasrenner,5173413,1088176,E-Commerce (Retailer)
18,<25,all,Lojas Renner - Comprar Roupas,0.107104361,br.com.lojasrenner,5173413,554095,E-Commerce (Retailer)
18,between 25 and 44,female,Lojas Renner - Comprar Roupas,0.528811395,br.com.lojasrenner,5173413,2735760,E-Commerce (Retailer)
18,between 25 and 44,male,Lojas Renner - Comprar Roupas,0.153744146,br.com.lojasrenner,5173413,795382,E-Commerce (Retailer)
18,all,female,Lojas Renner - Comprar Roupas,0.762451351,br.com.lojasrenner,5173413,3944476,E-Commerce (Retailer)
18,all,male,Lojas Renner - Comprar Roupas,0.237548634,br.com.lojasrenner,5173413,1228937,E-Commerce (Retailer)
18,between 25 and 44,all,Lojas Renner - Comprar Roupas,0.682555556,br.com.lojasrenner,5173413,3531142,E-Commerce (Retailer)
18,<25,female,Lojas Renner - Comprar Roupas,0.082100816,br.com.lojasrenner,5173413,424741,E-Commerce (Retailer)
18,>44,male,Lojas Renner - Comprar Roupas,0.058800951,br.com.lojasrenner,5173413,304202,E-Commerce (Retailer)
19,all,female,Natura: perfumes e cosméticos,0.775924861,net.natura.semprepresente,1216553,943954,E-Commerce (Retailer)
19,>44,female,Natura: perfumes e cosméticos,0.255400002,net.natura.semprepresente,1216553,310708,E-Commerce (Retailer)
19,<25,all,Natura: perfumes e cosméticos,0.052026033,net.natura.semprepresente,1216553,63292,E-Commerce (Retailer)
19,<25,female,Natura: perfumes e cosméticos,0.03677839,net.natura.semprepresente,1216553,44743,E-Commerce (Retailer)
19,all,all,Natura: perfumes e cosméticos,1,net.natura.semprepresente,1216553,1216553,E-Commerce (Retailer)
19,<25,male,Natura: perfumes e cosméticos,0.015247645,net.natura.semprepresente,1216553,18550,E-Commerce (Retailer)
19,between 25 and 44,male,Natura: perfumes e cosméticos,0.135760635,net.natura.semprepresente,1216553,165160,E-Commerce (Retailer)
19,>44,male,Natura: perfumes e cosméticos,0.07306686,net.natura.semprepresente,1216553,88890,E-Commerce (Retailer)
19,between 25 and 44,female,Natura: perfumes e cosméticos,0.483746469,net.natura.semprepresente,1216553,588503,E-Commerce (Retailer)
19,all,male,Natura: perfumes e cosméticos,0.224075139,net.natura.semprepresente,1216553,272599,E-Commerce (Retailer)
19,between 25 and 44,all,Natura: perfumes e cosméticos,0.619507134,net.natura.semprepresente,1216553,753663,E-Commerce (Retailer)
19,>44,all,Natura: perfumes e cosméticos,0.328466862,net.natura.semprepresente,1216553,399597,E-Commerce (Retailer)
20,all,male,Época Cosméticos e Maquiagens,0.149434924,com.mobfiq.epocacosmeticos,421845,63038,E-Commerce (B2C)
20,<25,female,Época Cosméticos e Maquiagens,0.026032383,com.mobfiq.epocacosmeticos,421845,10982,E-Commerce (B2C)
20,between 25 and 44,all,Época Cosméticos e Maquiagens,0.803841233,com.mobfiq.epocacosmeticos,421845,339096,E-Commerce (B2C)
20,>44,all,Época Cosméticos e Maquiagens,0.154491544,com.mobfiq.epocacosmeticos,421845,65171,E-Commerce (B2C)
20,<25,male,Época Cosméticos e Maquiagens,0.015634814,com.mobfiq.epocacosmeticos,421845,6595,E-Commerce (B2C)
20,all,all,Época Cosméticos e Maquiagens,1,com.mobfiq.epocacosmeticos,421845,421845,E-Commerce (B2C)
20,<25,all,Época Cosméticos e Maquiagens,0.041667197,com.mobfiq.epocacosmeticos,421845,17577,E-Commerce (B2C)
20,between 25 and 44,female,Época Cosméticos e Maquiagens,0.689789712,com.mobfiq.epocacosmeticos,421845,290984,E-Commerce (B2C)
20,>44,female,Época Cosméticos e Maquiagens,0.13474299,com.mobfiq.epocacosmeticos,421845,56841,E-Commerce (B2C)
20,all,female,Época Cosméticos e Maquiagens,0.850565076,com.mobfiq.epocacosmeticos,421845,358807,E-Commerce (B2C)
